Episode: 62, Reward: -200.0, Max Position: -0.391, Epsilon: 0.75598, Q-value: -10.488149640168995
Episode: 63, Reward: -200.0, Max Position: -0.283, Epsilon: 0.75198, Q-value: -7.79939644753933
Episode: 64, Reward: -200.0, Max Position: -0.242, Epsilon: 0.74798, Q-value: -4.275170369893313
Episode: 65, Reward: -200.0, Max Position: -0.268, Epsilon: 0.74398, Q-value: -7.109713127017021
Episode: 66, Reward: -200.0, Max Position: -0.366, Epsilon: 0.73998, Q-value: -11.180158691629767
Episode: 67, Reward: -200.0, Max Position: -0.229, Epsilon: 0.73598, Q-value: -2.91833265542984
Episode: 68, Reward: -200.0, Max Position: -0.190, Epsilon: 0.73198, Q-value: 0.24546054363250733
Episode: 69, Reward: -200.0, Max Position: -0.155, Epsilon: 0.72798, Q-value: 0.018409669920802115
Episode: 70, Reward: -200.0, Max Position: -0.314, Epsilon: 0.72398, Q-value: -7.553776983469724
Episode: 71, Reward: -200.0, Max Position: -0.316, Epsilon: 0.71998, Q-value: -7.233149916678667
Episode: 72, Reward: -200.0, Max Position: -0.303, Epsilon: 0.71598, Q-value: -7.048386125564575
Episode: 73, Reward: -200.0, Max Position: -0.179, Epsilon: 0.71198, Q-value: -0.3954812994599342
Episode: 74, Reward: -200.0, Max Position: -0.216, Epsilon: 0.70798, Q-value: 0.7307251049205661
Episode: 75, Reward: -200.0, Max Position: -0.212, Epsilon: 0.70398, Q-value: 0.4826693508028984
Episode: 76, Reward: -200.0, Max Position: -0.255, Epsilon: 0.69998, Q-value: -4.373278146088123
Episode: 77, Reward: -167.0, Max Position: -0.064, Epsilon: 0.69598, Q-value: 7.833691883161664
Episode: 78, Reward: -200.0, Max Position: -0.278, Epsilon: 0.69198, Q-value: -8.57929012387991
Episode: 79, Reward: -200.0, Max Position: -0.077, Epsilon: 0.68798, Q-value: 4.96176245212555
Episode: 80, Reward: -200.0, Max Position: -0.189, Epsilon: 0.68398, Q-value: -0.41740146577358245
Episode: 81, Reward: -200.0, Max Position: -0.150, Epsilon: 0.67998, Q-value: 1.728244976401329
Episode: 82, Reward: -200.0, Max Position: -0.273, Epsilon: 0.67598, Q-value: -4.940098548103124
Episode: 83, Reward: -200.0, Max Position: -0.179, Epsilon: 0.67198, Q-value: -4.611086451411247
Episode: 84, Reward: -200.0, Max Position: -0.161, Epsilon: 0.66798, Q-value: -0.31197801530361174
Episode: 85, Reward: -200.0, Max Position: -0.269, Epsilon: 0.66398, Q-value: -9.299919971227645
Episode: 86, Reward: -200.0, Max Position: -0.203, Epsilon: 0.65998, Q-value: 1.030612167418003
Episode: 87, Reward: -200.0, Max Position: -0.136, Epsilon: 0.65598, Q-value: 6.731667876243591
Episode: 88, Reward: -200.0, Max Position: -0.113, Epsilon: 0.65198, Q-value: -1.0813209322001784
Episode: 89, Reward: -200.0, Max Position: -0.082, Epsilon: 0.64798, Q-value: 3.598859049677849
Episode: 90, Reward: -200.0, Max Position: -0.175, Epsilon: 0.64398, Q-value: 0.016036930084228514
Episode: 91, Reward: -200.0, Max Position: -0.155, Epsilon: 0.63998, Q-value: 2.935737199690193
Episode: 92, Reward: -156.0, Max Position: -0.055, Epsilon: 0.63598, Q-value: 5.33446854531765
